type_of_service,actual_year,vessel_country_code,count,row_num,country_name
House to House,2018,SG,1401431,4,Singapore
House to House,2018,GB,840603,5,United Kingdom
House to House,2018,MT,560314,6,Malta
House to House,2018,DE,530512,7,Germany
House to House,2018,PT,488606,8,Portugal
House to House,2018,DK,391816,9,Denmark
House to House,2018,US,369364,10,United States
House to House,2019,HK,2220823,1,Hong Kong
House to House,2019,PA,2023898,2,Panama
House to House,2019,LR,1663757,3,Liberia
House to House,2019,SG,1036137,4,Singapore
House to House,2019,GB,658616,5,United Kingdom
House to House,2019,DE,613582,6,Germany
House to House,2019,MT,559081,7,Malta
House to House,2019,PT,416366,8,Portugal
House to House,2019,US,328723,9,United States
House to House,2019,TW,321524,10,Taiwan
House to House,2020,HK,1598019,1,Hong Kong
House to House,2020,PA,1424458,2,Panama
House to House,2020,LR,1301709,3,Liberia
House to House,2020,SG,657547,4,Singapore
House to House,2020,GB,417115,5,United Kingdom
House to House,2020,MT,415414,6,Malta
House to House,2020,DE,392732,7,Germany
House to House,2020,US,276911,8,United States
House to House,2020,PT,267918,9,Portugal
House to House,2020,MH,254700,10,Marshall Islands
House to Pier,2018,LR,60535,1,Liberia
House to Pier,2018,HK,53724,2,Hong Kong
House to Pier,2018,PA,50477,3,Panama
House to Pier,2018,GB,38456,4,United Kingdom
House to Pier,2018,SG,31887,5,Singapore
House to Pier,2018,PT,25166,6,Portugal
House to Pier,2018,MT,23357,7,Malta
House to Pier,2018,DE,16877,8,Germany
House to Pier,2018,CY,10798,9,Cyprus
House to Pier,2018,TW,8369,10,Taiwan
House to Pier,2019,LR,65674,1,Liberia
House to Pier,2019,HK,51713,2,Hong Kong
House to Pier,2019,PA,41524,3,Panama
House to Pier,2019,SG,32809,4,Singapore
House to Pier,2019,DE,31827,5,Germany
House to Pier,2019,MT,28819,6,Malta
House to Pier,2019,FR,25136,7,France
House to Pier,2019,PT,11912,8,Portugal
House to Pier,2019,GB,11660,9,United Kingdom
House to Pier,2019,CY,9226,10,Cyprus
House to Pier,2020,LR,49433,1,Liberia
House to Pier,2020,HK,28753,2,Hong Kong
House to Pier,2020,DE,27018,3,Germany
House to Pier,2020,MT,23911,4,Malta
House to Pier,2020,PA,23771,5,Panama
House to Pier,2020,SG,17368,6,Singapore
House to Pier,2020,PT,13305,7,Portugal
House to Pier,2020,FR,12605,8,France
House to Pier,2020,MH,9662,9,Marshall Islands
House to Pier,2020,CY,6688,10,Cyprus
Mixed Delivery,2018,PA,310,1,Panama
Mixed Delivery,2018,US,195,2,United States
Mixed Delivery,2018,HK,77,3,Hong Kong
Mixed Delivery,2018,GB,63,4,United Kingdom
Mixed Delivery,2018,LR,56,5,Liberia
Mixed Delivery,2018,SG,53,6,Singapore
Mixed Delivery,2018,DE,36,7,Germany
Mixed Delivery,2018,CY,34,8,Cyprus
Mixed Delivery,2018,MT,32,9,Malta
Mixed Delivery,2018,PT,25,10,Portugal
Mixed Delivery,2019,PA,145,1,Panama
Mixed Delivery,2019,MT,44,2,Malta
Mixed Delivery,2019,HK,38,3,Hong Kong
Mixed Delivery,2019,SG,32,4,Singapore
Mixed Delivery,2019,LR,29,5,Liberia
Mixed Delivery,2019,DE,29,6,Germany
Mixed Delivery,2019,JP,28,7,Japan
Mixed Delivery,2019,FR,26,8,France
Mixed Delivery,2019,MH,19,9,Marshall Islands
Mixed Delivery,2019,GB,18,10,United Kingdom
Mixed Delivery,2020,PA,114,1,Panama
Mixed Delivery,2020,LR,54,2,Liberia
Mixed Delivery,2020,US,52,3,United States
Mixed Delivery,2020,FR,34,4,France
Mixed Delivery,2020,HK,30,5,Hong Kong
Mixed Delivery,2020,DE,24,6,Germany
Mixed Delivery,2020,SG,22,7,Singapore
Mixed Delivery,2020,MT,22,8,Malta
Mixed Delivery,2020,JP,20,9,Japan
Mixed Delivery,2020,GB,8,10,United Kingdom
Non Containerized,2018,US,26353,1,United States
Non Containerized,2018,PA,5583,2,Panama
Non Containerized,2018,MH,2600,3,Marshall Islands
Non Containerized,2018,GB,1264,4,United Kingdom
Non Containerized,2018,MT,1179,5,Malta
Non Containerized,2018,BS,1159,6,Bahamas
Non Containerized,2018,LR,963,7,Liberia
Non Containerized,2018,SG,922,8,Singapore
