shipper_party_name,count,mean_delay,% Total
HELLA AUTOMOTIVE MEXICO S A DE C V,211,-25.85781990521327,0.0012000775557229851
TALLERES MECANICOS MONSERRAT,92,-25.83695652173913,0.000523256564580638
SYMRISE S DE R L DE C V,54,-25.75925925925926,0.000307128853123418
ARECO BONDED WAREHOUSE (TBS LOGISTI,54,-25.75925925925926,0.000307128853123418
CORNING SCIENCE MEXICO SA DE CV,75,-25.72,0.0004265678515603027
FASTENER,59,-25.627118644067796,0.00033556670989410485
"HITCHINER, S.A. DE C.V.",78,-25.564102564102566,0.0004436305656227148
CENTRO DE MANUFACTURA EDGEWLL,80,-25.5125,0.00045500570833098954
SOC EXP Y COM VINA MAIPO SPA,127,-25.448818897637796,0.0007223215619754459
HELLA AUTOMOTIVE DE MEXICO,57,-25.385964912280702,0.0003241915671858301
"VITRICA, S.A DE C.V.",102,-25.245098039215687,0.0005801322781220117
FUNDILAG HIERRO S A DE C V,76,-25.157894736842106,0.0004322554229144401
MSA DE MEXICO S A DE C V,53,-25.132075471698112,0.0003014412817692806
DENTAS MADENCILIK SAN. VE TIC. LTD.,54,-25.09259259259259,0.000307128853123418
"DANA EJES S. A DE C,V",63,-25.0,0.0003583169953106543
DALIAN A.L.X TRADING & DEVELOPMENT,53,-24.943396226415093,0.0003014412817692806
SONORA S PLAN S DE RL DE CV,78,-24.871794871794872,0.0004436305656227148
R C ENTERPRISE,162,-24.820987654320987,0.000921386559370254
MUELLER TECHNOPLASTICS DE MEXICO,76,-24.81578947368421,0.0004322554229144401
OLAM AGRO MEXICO S.A. DE C.V.,91,-24.736263736263737,0.0005175689932265007
SEAL ELECTRONICS ASIA LTD.,135,-24.733333333333334,0.0007678221328085449
RUIJIN TOSPO LIGHTING CO LTD,60,-24.65,0.0003412542812482422
CAMERON DE MEXICO SA DE CV,523,-24.630975143403443,0.0029745998182138444
TEKSPAN DE MEXICO SA DE CV,76,-24.61842105263158,0.0004322554229144401
VITESCO TECHNOLOGIES MEXICO S DE RL,56,-24.589285714285715,0.0003185039958316927
AXEL CHRISTIERNSSON AB,73,-24.561643835616437,0.00041519270885202796
CONTITECH MEXICANA S A DE C V,500,-24.514,0.002843785677068685
NHUT MANH,70,-24.5,0.00039812999478961586
"VIBRACOUSTIC DE MEXICO, S.A DE C.V",69,-24.434782608695652,0.00039244242343547853
GENERAL MOTORS DE MEXICO S DE,147,-24.421768707482993,0.0008360729890581934
CONSORCIO INDUSTRIAL MEXICANO DE,210,-24.38095238095238,0.0011943899843688476
SHAPE CORP MEXICO S. DE R.L. DE C.V,75,-24.373333333333335,0.0004265678515603027
CORNING SCIENCE MEXICO S. A. DE C.,66,-24.318181818181817,0.00037537970937306643
LEONI CABLE SA DE CV,147,-24.27891156462585,0.0008360729890581934
PT. DAMAI ABADI,76,-24.263157894736842,0.0004322554229144401
JOHNSON CONTROLS BE MANUFACTUR,74,-24.18918918918919,0.0004208802802061654
EXISTENCE,50,-24.16,0.0002843785677068685
DUC NHAN SERVICE TRADE PRODUCTION C,59,-24.135593220338983,0.00033556670989410485
SUMIDA COMPONENTS DE MEXICO,257,-24.124513618677042,0.001461705838013304
SIEMENS S A DE C V,438,-24.102739726027398,0.002491156253112168
SOCIEDAD COOPERATIVA DE VENTA EN,183,-24.098360655737704,0.0010408255578071388
DELPHI DELCO ELECTRONICS DE MEXICO,74,-24.013513513513512,0.0004208802802061654
BENCHMARK ELECTRONICS DE MEXICO S,109,-24.009174311926607,0.0006199452776009732
EJOT ATF FASTENERS DE MEXICO,160,-23.975,0.0009100114166619791
TDC CUTTING TOOLS INC,57,-23.894736842105264,0.0003241915671858301
RICHARDSON OILSEED PRODUCTS LIMITED,171,-23.894736842105264,0.0009725747015574902
EMPACADORA SAN MARCOS S A DE C V,51,-23.823529411764707,0.00029006613906100583
LAYFIELD CANADA LTD,56,-23.785714285714285,0.0003185039958316927
CLARIANT PLASTICS AND COATINGS,137,-23.773722627737225,0.0007791972755168197
SEKISUI S LEC MEXICO SA DE CV,71,-23.732394366197184,0.00040381756614375324
"FLEXITECH AUTOMOTIVE MEXICO, S. DE",181,-23.607734806629836,0.001029450415098864
ZF POWERTRAIN MODULES SALTILLO SA,61,-23.557377049180328,0.00034694185260237956
"DALIAN J.SMART HANDICRAFT CO.,LTD",56,-23.553571428571427,0.0003185039958316927
ASSOCIATED SPRING ASIA PTE LTD,58,-23.5,0.0003298791385399674
"HUF MEXICO, S. DE R.L. DE C.V.",65,-23.476923076923075,0.00036969213801892905
UNIPETRO RESOURCES INC,90,-23.4,0.0005118814218723633
GREEN AUTOMATION EXPORT OY,58,-23.379310344827587,0.0003298791385399674
UTIL SERVICIOS S DE RL DE CV,50,-23.2,0.0002843785677068685
"TGK CO., LTD.",130,-23.184615384615384,0.0007393842760378581
GLAXOSMITHKLINE CONSUMER HEALTHCARE,152,-23.157894736842106,0.0008645108458288802
SCHAEFFLER MEXICO,115,-23.121739130434783,0.0006540707057257975
AVANT TECNO OY,198,-23.11111111111111,0.0011261391281191992
CORNING MEXICANA S.A. DE C.V.,118,-23.06779661016949,0.0006711334197882097
POLIURETANOS MEXICANOS,316,-22.99367088607595,0.001797272547907409
ECTX INDUSTRIA E COMERCIO LTDA,333,-22.91891891891892,0.001893961260927744
"BORGWARNER COMPONENTES PDS, S DE RL",411,-22.912408759124087,0.0023375918265504587
ADIENT MEXICO S DE R L DE C V,53,-22.90566037735849,0.0003014412817692806
"APTAR QUERETARO, SA DE CV",52,-22.903846153846153,0.0002957537104151432
BAXTER S.A. DE C.V.,1119,-22.900804289544237,0.006364392345279717
AUTOLIV MEXICO SA DE CV AMX,86,-22.88372093023256,0.0004891311364558138
"STABILUS, SA DE CV",232,-22.853448275862068,0.0013195165541598696
YANFENG MEXICO INTERIORES S DE RL,130,-22.723076923076924,0.0007393842760378581
PRETTL ELECTRIC DEL BAJIO SA DE CV,134,-22.70149253731343,0.0007621345614544075
DISTRIBUIDORA INTERMEX,58,-22.603448275862068,0.0003298791385399674
BODEGAS SANTO DOMINGO LTDA,71,-22.577464788732396,0.00040381756614375324
LABORATORIO ECLAT SA DE CV,104,-22.567307692307693,0.0005915074208302864
GENOMMA LAB INTERNACIONAL,139,-22.56115107913669,0.0007905724182250944
TRANSMISIONES Y EQUIPOS,256,-22.55078125,0.0014560182666591666
MCCORD PAYEN DE MEXICO,63,-22.523809523809526,0.0003583169953106543
DELPHI DIESEL SYSTEMS,82,-22.5,0.0004663808510392643
AMERICAN AXLE MANUFACTURING DE,126,-22.49206349206349,0.0007166339906213086
KLK INTERNATIONAL,86,-22.488372093023255,0.0004891311364558138
INDUSTRIAL DE VALVULAS S A DE C V,52,-22.423076923076923,0.0002957537104151432
BASF COLORS & EFFECTS MEXICO,67,-22.35820895522388,0.00038106728072720376
JOH. NEP. JERGER VERBINDUNGSELEMENT,136,-22.323529411764707,0.0007735097041626823
AIRBUS OPERATIONS GMBH,208,-22.307692307692307,0.0011830148416605729
APTIV CONTRACT SERVICES TAMAULIPAS,356,-22.20505617977528,0.002024775402072904
TBG APPAREL S DE R L DE C V,182,-22.186813186813186,0.0010351379864530013
CONGELADOS BEFROST S DE R L DE C V,94,-22.148936170212767,0.0005346317072889127
KINUGAWA MEXICO SA DE CV,123,-22.121951219512194,0.0006995712765588965
UNICAR PLASTICS SA DE CV,84,-22.05952380952381,0.0004777559937475391
EMZ HANAUER DE MEXICO S A DE C V,390,-22.05897435897436,0.0022181528281135744
FISCHER TUBTECH S A DE C V,141,-22.05673758865248,0.0008019475609333691
LEAR CORP MEXICO S DE RL DE CV,310,-22.045161290322582,0.0017631471197825845
FRISA FORJADOS S A DE C V,206,-22.04368932038835,0.0011716396989522983
PLASTIEXPORTS S A DE C V,104,-22.028846153846153,0.0005915074208302864
PAUL HENKE GMBH & CO.KG,90,-21.933333333333334,0.0005118814218723633
NUEVA GENERACION MANUFACTURAS SA DE,90,-21.866666666666667,0.0005118814218723633
FRESENIUS HEMOCARE NETHERLANDS B.V.,63,-21.841269841269842,0.0003583169953106543
AL-NU SPORTING GOODS (HK) CO. LTD.,107,-21.80373831775701,0.0006085701348926986
BANCO PRODUCTS (INDIA) LTD.,120,-21.691666666666666,0.0006825085624964844
DONALDSON SA DEC CV,900,-21.676666666666666,0.005118814218723633
COOPER-STANDARD DE MEXICO,107,-21.672897196261683,0.0006085701348926986
SEG AUTOMOTIVE SA DE CV,146,-21.623287671232877,0.0008303854177040559
"SANMINA PLANT 2448, 3",284,-21.612676056338028,0.001615270264575013
MJCELCO MEXICO S DE RL DE CV,156,-21.58974358974359,0.0008872611312454296
ACS INTERNACIONAL S. DE R.L DE C.V.,8715,-21.560986804360297,0.04956718435130717
KI MEXICO S DE R.L. DE C.V.,55,-21.509090909090908,0.0003128164244775553
PRINCETON STANDARD PELLET,53,-21.471698113207548,0.0003014412817692806
VESTAS SPARE PARTS & REPAIR A/S,186,-21.462365591397848,0.0010578882718695508
FACTORS GROUP OF NUTRITIONAL CO. IN,101,-21.455445544554454,0.0005744447067678744
"KONG RICHS FURNITURE VIET NAM CO.,L",64,-21.4375,0.00036400456666479166
JYOTINDRA INTERNATIONAL,59,-21.423728813559322,0.00033556670989410485
AMVIAN MEXICO S DE RL DE CV,266,-21.37593984962406,0.0015128939802005405
TST MANUFACTURING DE MEXICO S DE RL,117,-21.35042735042735,0.0006654458484340722
ECKERLE DE MEXICO,139,-21.33093525179856,0.0007905724182250944
CIE CELAYA S A P I DE C V,221,-21.27601809954751,0.0012569532692643587
THE PROCTER & GAMBLE,744,-21.233870967741936,0.004231553087478203
THONI ALUTEC SP Z O O,100,-21.21,0.000568757135413737
TUPY DE MEXICO SALTILLO SA DE CV,83,-21.19277108433735,0.0004720684223934017
CELAY S.A. DE C.V.,89,-21.191011235955056,0.000506193850518226
HUF MEXICO S DE RL DE CV,99,-21.11111111111111,0.0005630695640595996
"DANDONG HEBEN PREC.MACH CO.,LTD.",63,-21.095238095238095,0.0003583169953106543
INTERVET MEXICO S A DE C V,187,-21.085561497326204,0.0010635758432236881
BIO ORGANICA ITALIA S.R.L.,74,-21.08108108108108,0.0004208802802061654
ARMOROOF EXPORT,281,-21.07473309608541,0.001598207550512601
DALIAN EVEREST METAL PRODUCTS CO LT,64,-21.046875,0.00036400456666479166
WEENER PLASTICS SA DE CV,178,-21.04494382022472,0.001012387701036452
"CHUN I GRAVURE CO., LTD.",81,-21.037037037037038,0.000460693279685127
"THYSSENKRUPP METALURGICA DE MEXICO,",494,-21.034412955465587,0.0028096602489438606
KS GLEITLAGER DE MEXICO S DE RL DE,283,-20.98233215547703,0.0016095826932208757
APTIV MANUFATURA E SERV. DE DISTRIB,461,-20.973969631236443,0.0026219703942573272
"JIANGSU GARDENSUN FURNACE CO.,LTD",114,-20.964912280701753,0.0006483831343716602
NUEVA GENERACION MANUFACTURAS,124,-20.95967741935484,0.0007052588479130338
CATERPILLAR TORREON S DE RL DE,176,-20.948863636363637,0.001001012558328177
VRDC TAN PHAT TAI COMPANY LIMITED,76,-20.93421052631579,0.0004322554229144401
SANMINA SCI SYSTEMS DE MEXICO SA DE,203,-20.862068965517242,0.001154576984889886
SIEMENS GESA RENEWABLE ENERGY SA DE,57,-20.859649122807017,0.0003241915671858301
GUACAMOLE DE LA SIERRA SA DE CV,123,-20.788617886178862,0.0006995712765588965
BN PRODUCTS MAQUINADOS Y SINTERIZA,180,-20.75,0.0010237628437447265
LIBBEY MEXICO S DE RL,55,-20.745454545454546,0.0003128164244775553
PRYM INOVAN MEXICO SA DE CV,55,-20.745454545454546,0.0003128164244775553
MAYEKAWA DE MEXICO SA DE CV ON,98,-20.714285714285715,0.0005573819927054622
KOSTAL MEXICANA S.A. DE C.V.,111,-20.65765765765766,0.0006313204203092481
BASF MEXICANA S A DE C V,248,-20.649193548387096,0.0014105176958260676
CADILLAC RUBBER AND PLASTICS DE,64,-20.640625,0.00036400456666479166
EQUIPO AUTOMOTRIZ AMERICANA SA DE C,117,-20.615384615384617,0.0006654458484340722
NOVOMATIC AG,74,-20.60810810810811,0.0004208802802061654
JOHNSON ELECTRIC GROUP MEXICO,89,-20.59550561797753,0.000506193850518226
NINGBO YONGSHENG METAL MANUFACTURIN,59,-20.593220338983052,0.00033556670989410485
PT. DAELIM INDONESIA,60,-20.583333333333332,0.0003412542812482422
