is_delayed,estimated_year_month,count,% Total,% Year-Month-Total
early,2020-05,209505,0.3890898178757674,13.578861813911164
delayed,2020-05,606877,1.127083656251603,39.334139619775016
on schedule,2020-05,726494,1.349234711094426,47.086998566313824
early,2020-11,57,0.00010585961966978707,100.0
early,2020-07,175758,0.3264153514723235,9.24972975703921
delayed,2020-07,1017451,1.8895960682920092,53.546050768837276
on schedule,2020-07,706933,1.3129062896845893,37.20421947412351
delayed,2019-08,755466,1.4030411128676379,44.525608534213475
on schedule,2019-08,807140,1.499009358250385,47.57116756055873
early,2019-08,134094,0.24903754105263912,7.903223905227795
on schedule,2019-09,669182,1.2427956492959202,42.0315370628009
delayed,2019-09,809683,1.5037321830367054,50.85645014901748
early,2019-09,113230,0.21028920588087702,7.11201278818161
early,2020-03,96180,0.17862417929544072,7.340623075261611
on schedule,2020-03,457970,0.8505356143889892,34.953058325822006
delayed,2020-03,756093,1.4042055686840056,57.70631859891638
early,2020-09,161998,0.30086046784677484,10.198431184921244
delayed,2020-09,1039328,1.9302257331957975,65.42991324931066
on schedule,2020-09,387134,0.7189799649340939,24.3716555657681
delayed,2020-06,745268,1.384101526878296,44.9959548390992
on schedule,2020-06,717191,1.3319573068525308,43.30079091951941
early,2020-06,193841,0.3599988515159859,11.703254241381392
delayed,2019-10,766682,1.423871314520556,47.80713076901012
on schedule,2019-10,723678,1.3440048744454767,45.12557850667645
early,2019-10,113338,0.2104897820023566,7.067290724313431
early,2019-03,98887,0.18365158263660059,7.433044942384449
on schedule,2019-03,409488,0.7604955077077503,30.780008569044703
delayed,2019-03,821995,1.5265978608853794,61.78694648857085
delayed,2018-02,1001184,1.8593852185873,66.11460223625716
early,2018-02,89652,0.1665004670637851,5.9202966884058545
on schedule,2018-02,423480,0.7864812585572182,27.965101075336985
early,2020-01,99249,0.18432388408081923,6.370805817165981
delayed,2020-01,981563,1.8229453659988633,63.006652664660514
on schedule,2020-01,477060,0.885989301046818,30.622541518173506
early,2018-12,165031,0.3064933139249935,9.322689763010901
delayed,2018-12,1275352,2.368566274826356,72.04531896816646
on schedule,2018-12,329825,0.612546474694518,18.63199126882265
delayed,2020-02,868417,1.6128121637680262,66.24394136107124
early,2020-02,73198,0.13594232351910657,5.583635534251048
on schedule,2020-02,369323,0.6859016195667503,28.17242310467772
early,2018-03,85547,0.15887671726125044,6.3460612611115605
delayed,2018-03,906349,1.6832589548788042,67.23492674140766
on schedule,2018-03,356137,0.6614127608831396,26.419011997480773
delayed,2019-07,792134,1.471140420482581,45.4255284985503
on schedule,2019-07,808114,1.5008182577163214,46.341913788673985
early,2019-07,143560,0.2666176666630637,8.23255771277572
early,2019-01,125538,0.23314745498431103,7.8050315091045634
on schedule,2019-01,297443,0.5524070676042189,18.49282278802107
delayed,2019-01,1185443,2.2015885108809017,73.70214570287436
early,2019-06,124663,0.2315224169630643,7.68651654910472
delayed,2019-06,725018,1.3464935041008717,44.70342327233266
on schedule,2019-06,772159,1.4340431239404057,47.61006017856262
on schedule,2019-12,592384,1.1001674550608271,38.703565410726874
delayed,2019-12,826774,1.5354733542608516,54.017498090576886
early,2019-12,111409,0.20690726961037384,7.278936498696235
early,2020-08,136686,0.2538513679681494,6.24250149456317
delayed,2020-08,1287638,2.3913836658309697,58.806916139592424
on schedule,2020-08,765279,1.4212656821276313,34.950582365844404
delayed,2019-02,1030143,1.9131674769384817,68.81070198548095
early,2019-02,124955,0.23206471536558324,8.346648248442957
on schedule,2019-02,341970,0.6351020024294225,22.84264976607609
on schedule,2018-06,823833,1.5300113693231525,45.12909592589002
delayed,2018-06,855179,1.5882267313962954,46.84621170165155
early,2018-06,146491,0.2720610797376628,8.024692372458441
delayed,2018-05,961981,1.7865779436765163,51.83313495901491
on schedule,2018-05,718467,1.3343270765840862,38.71219595251733
early,2018-05,175471,0.3258823390013545,9.454669088467762
on schedule,2018-08,689871,1.281218976863433,39.27060284816341
delayed,2018-08,922820,1.7138486705907527,52.53112207984125
early,2018-08,144020,0.267471972365662,8.198275071995337
early,2019-04,124692,0.2315762753660542,7.878206610536371
delayed,2019-04,863660,1.6039775284913738,54.567188923554376
on schedule,2019-04,594394,1.1039003995439196,37.55460446590925
delayed,2018-04,883468,1.64076467491978,57.86042917161953
on schedule,2018-04,548282,1.0182618244173718,35.90829755811631
early,2018-04,95145,0.1767019914645946,6.231273270264164
early,2020-10,17518,0.032534189778514556,100.0
early,2018-09,121813,0.22622943597957498,7.1180102084045505
delayed,2018-09,1076607,1.9994597816461486,62.910359456214
on schedule,2018-09,512915,0.952578716191734,29.971630335381445
on schedule,2018-07,759000,1.4096044092871647,40.72047885995535
early,2018-07,197958,0.3676448875542405,10.620480308509936
delayed,2018-07,906969,1.6844104103910018,48.65904083153471
delayed,2018-10,1207982,2.2434476331219075,67.56111911515987
on schedule,2018-10,464836,0.8632870555934236,25.997771792141318
early,2018-10,115166,0.2138847185770298,6.441109092698816
early,2020-12,9,1.671467678996638e-05,100.0
on schedule,2019-11,676909,1.2571461279132614,45.390866559064
delayed,2019-11,695241,1.291192067348113,46.620138685392305
early,2019-11,119139,0.22126331978664496,7.988994755543693
delayed,2019-05,772202,1.4341229829517355,47.06663245273083
on schedule,2019-05,744432,1.3825489191231393,45.374017847728076
early,2019-05,124023,0.2303338177246667,7.559349699541099
delayed,2018-11,1054841,1.9590362644227695,63.908106283992275
on schedule,2018-11,463876,0.8615041567358271,28.10417561565506
early,2018-11,131842,0.24485515748252748,7.9877181003526685
delayed,2018-01,1070203,1.9875663605169323,67.15420575408653
early,2018-01,81244,0.1508852445693365,5.09798261851724
on schedule,2018-01,442203,0.8212533578392781,27.747811627396228
early,2020-04,275604,0.5118479757802105,16.943834095466915
on schedule,2020-04,519346,0.96452228135132,31.928827093018825
delayed,2020-04,831624,1.5444807078643334,51.127338811514264
