type_of_service,actual_year_month,actual_year,actual_month,count,row_num
Break Bulk,2019-03,2019,3,21570,7
Non Containerized,2019-03,2019,3,3157,8
Roll on Roll Off,2019-03,2019,3,526,9
Headload or Devanning,2019-03,2019,3,56,10
House to House,2019-04,2019,4,959827,1
Container Yard,2019-04,2019,4,585814,2
Pier to Pier,2019-04,2019,4,458605,3
Pier to House,2019-04,2019,4,104733,4
Container Station,2019-04,2019,4,51018,5
House to Pier,2019-04,2019,4,31723,6
Break Bulk,2019-04,2019,4,21133,7
Non Containerized,2019-04,2019,4,3677,8
Roll on Roll Off,2019-04,2019,4,166,9
Headload or Devanning,2019-04,2019,4,79,10
House to House,2019-05,2019,5,1017424,1
Container Yard,2019-05,2019,5,657168,2
Pier to Pier,2019-05,2019,5,509393,3
Pier to House,2019-05,2019,5,105562,4
Container Station,2019-05,2019,5,59693,5
House to Pier,2019-05,2019,5,30086,6
Break Bulk,2019-05,2019,5,21943,7
Non Containerized,2019-05,2019,5,4367,8
Roll on Roll Off,2019-05,2019,5,428,9
Headload or Devanning,2019-05,2019,5,61,10
House to House,2019-06,2019,6,948261,1
Container Yard,2019-06,2019,6,623151,2
Pier to Pier,2019-06,2019,6,463877,3
Pier to House,2019-06,2019,6,95547,4
Container Station,2019-06,2019,6,53301,5
House to Pier,2019-06,2019,6,30789,6
Break Bulk,2019-06,2019,6,23985,7
Non Containerized,2019-06,2019,6,3921,8
Roll on Roll Off,2019-06,2019,6,221,9
Headload or Devanning,2019-06,2019,6,65,10
House to House,2019-07,2019,7,1058157,1
Container Yard,2019-07,2019,7,676971,2
Pier to Pier,2019-07,2019,7,508919,3
Pier to House,2019-07,2019,7,106543,4
Container Station,2019-07,2019,7,52856,5
House to Pier,2019-07,2019,7,32769,6
Break Bulk,2019-07,2019,7,27623,7
Non Containerized,2019-07,2019,7,3849,8
Roll on Roll Off,2019-07,2019,7,726,9
Headload or Devanning,2019-07,2019,7,58,10
House to House,2019-08,2019,8,1001481,1
Container Yard,2019-08,2019,8,700219,2
Pier to Pier,2019-08,2019,8,480960,3
Pier to House,2019-08,2019,8,103043,4
Container Station,2019-08,2019,8,55458,5
House to Pier,2019-08,2019,8,30217,6
Break Bulk,2019-08,2019,8,27372,7
Non Containerized,2019-08,2019,8,4969,8
Roll on Roll Off,2019-08,2019,8,330,9
Headload or Devanning,2019-08,2019,8,79,10
House to House,2019-09,2019,9,915396,1
Container Yard,2019-09,2019,9,648115,2
Pier to Pier,2019-09,2019,9,451633,3
Pier to House,2019-09,2019,9,94126,4
