type_of_service,actual_year,actual_year,actual_year_month,vessel_country_code,count,row_num,country_name
Break Bulk,2018,2018,2018-09,US,831,10,United States
Break Bulk,2018,2018,2018-10,HK,5367,1,Hong Kong
Break Bulk,2018,2018,2018-10,PA,4748,2,Panama
Break Bulk,2018,2018,2018-10,LR,3265,3,Liberia
Break Bulk,2018,2018,2018-10,GB,3218,4,United Kingdom
Break Bulk,2018,2018,2018-10,SG,2894,5,Singapore
Break Bulk,2018,2018,2018-10,MT,1780,6,Malta
Break Bulk,2018,2018,2018-10,PT,1341,7,Portugal
Break Bulk,2018,2018,2018-10,US,940,8,United States
Break Bulk,2018,2018,2018-10,DE,803,9,Germany
Break Bulk,2018,2018,2018-10,MH,771,10,Marshall Islands
Break Bulk,2018,2018,2018-11,PA,3904,1,Panama
Break Bulk,2018,2018,2018-11,HK,3774,2,Hong Kong
Break Bulk,2018,2018,2018-11,GB,3485,3,United Kingdom
Break Bulk,2018,2018,2018-11,LR,2611,4,Liberia
Break Bulk,2018,2018,2018-11,SG,2538,5,Singapore
Break Bulk,2018,2018,2018-11,MT,1180,6,Malta
Break Bulk,2018,2018,2018-11,MH,760,7,Marshall Islands
Break Bulk,2018,2018,2018-11,DE,750,8,Germany
Break Bulk,2018,2018,2018-11,US,679,9,United States
Break Bulk,2018,2018,2018-11,DK,558,10,Denmark
Break Bulk,2018,2018,2018-12,PA,5615,1,Panama
Break Bulk,2018,2018,2018-12,HK,4235,2,Hong Kong
Break Bulk,2018,2018,2018-12,LR,4006,3,Liberia
Break Bulk,2018,2018,2018-12,SG,3334,4,Singapore
Break Bulk,2018,2018,2018-12,GB,2767,5,United Kingdom
Break Bulk,2018,2018,2018-12,MT,1903,6,Malta
Break Bulk,2018,2018,2018-12,PT,1213,7,Portugal
Break Bulk,2018,2018,2018-12,TW,818,8,Taiwan
Break Bulk,2018,2018,2018-12,DE,755,9,Germany
Break Bulk,2018,2018,2018-12,US,734,10,United States
Break Bulk,2019,2019,2019-01,PA,5037,1,Panama
Break Bulk,2019,2019,2019-01,HK,3098,2,Hong Kong
Break Bulk,2019,2019,2019-01,LR,2883,3,Liberia
Break Bulk,2019,2019,2019-01,SG,2473,4,Singapore
Break Bulk,2019,2019,2019-01,GB,2383,5,United Kingdom
Break Bulk,2019,2019,2019-01,US,1131,6,United States
Break Bulk,2019,2019,2019-01,MH,930,7,Marshall Islands
Break Bulk,2019,2019,2019-01,MT,917,8,Malta
Break Bulk,2019,2019,2019-01,FR,809,9,France
Break Bulk,2019,2019,2019-01,PT,685,10,Portugal
Break Bulk,2019,2019,2019-02,PA,3548,1,Panama
Break Bulk,2019,2019,2019-02,LR,3427,2,Liberia
Break Bulk,2019,2019,2019-02,HK,2804,3,Hong Kong
Break Bulk,2019,2019,2019-02,GB,2019,4,United Kingdom
Break Bulk,2019,2019,2019-02,MT,1394,5,Malta
Break Bulk,2019,2019,2019-02,SG,1303,6,Singapore
Break Bulk,2019,2019,2019-02,MH,901,7,Marshall Islands
Break Bulk,2019,2019,2019-02,US,780,8,United States
Break Bulk,2019,2019,2019-02,DK,646,9,Denmark
Break Bulk,2019,2019,2019-02,DE,634,10,Germany
Break Bulk,2019,2019,2019-03,LR,6609,1,Liberia
Break Bulk,2019,2019,2019-03,PA,3031,2,Panama
