type_of_service,actual_year,actual_year,actual_year_month,vessel_country_code,count,row_num,country_name
Container Station,2019,2019,2019-01,GB,3476,7,United Kingdom
Container Station,2019,2019,2019-01,MH,3079,8,Marshall Islands
Container Station,2019,2019,2019-01,MT,2894,9,Malta
Container Station,2019,2019,2019-01,DE,1915,10,Germany
Container Station,2019,2019,2019-02,PA,7929,1,Panama
Container Station,2019,2019,2019-02,LR,7043,2,Liberia
Container Station,2019,2019,2019-02,HK,6617,3,Hong Kong
Container Station,2019,2019,2019-02,SG,4259,4,Singapore
Container Station,2019,2019,2019-02,DK,4228,5,Denmark
Container Station,2019,2019,2019-02,US,3806,6,United States
Container Station,2019,2019,2019-02,MT,2490,7,Malta
Container Station,2019,2019,2019-02,GB,2453,8,United Kingdom
Container Station,2019,2019,2019-02,DE,2055,9,Germany
Container Station,2019,2019,2019-02,PT,1246,10,Portugal
Container Station,2019,2019,2019-03,LR,7743,1,Liberia
Container Station,2019,2019,2019-03,DK,6922,2,Denmark
Container Station,2019,2019,2019-03,HK,6836,3,Hong Kong
Container Station,2019,2019,2019-03,PA,6622,4,Panama
Container Station,2019,2019,2019-03,US,4124,5,United States
Container Station,2019,2019,2019-03,SG,3402,6,Singapore
Container Station,2019,2019,2019-03,GB,2645,7,United Kingdom
Container Station,2019,2019,2019-03,MT,2533,8,Malta
Container Station,2019,2019,2019-03,DE,1697,9,Germany
Container Station,2019,2019,2019-03,PT,1585,10,Portugal
Container Station,2019,2019,2019-04,HK,9676,1,Hong Kong
Container Station,2019,2019,2019-04,SG,7721,2,Singapore
Container Station,2019,2019,2019-04,PA,7462,3,Panama
Container Station,2019,2019,2019-04,LR,7233,4,Liberia
Container Station,2019,2019,2019-04,US,4690,5,United States
Container Station,2019,2019,2019-04,DK,2630,6,Denmark
Container Station,2019,2019,2019-04,MT,2250,7,Malta
Container Station,2019,2019,2019-04,GB,2198,8,United Kingdom
Container Station,2019,2019,2019-04,DE,1294,9,Germany
Container Station,2019,2019,2019-04,CY,951,10,Cyprus
Container Station,2019,2019,2019-05,PA,10483,1,Panama
Container Station,2019,2019,2019-05,SG,9978,2,Singapore
Container Station,2019,2019,2019-05,HK,8659,3,Hong Kong
Container Station,2019,2019,2019-05,LR,8303,4,Liberia
Container Station,2019,2019,2019-05,US,5411,5,United States
Container Station,2019,2019,2019-05,GB,3624,6,United Kingdom
Container Station,2019,2019,2019-05,MT,2289,7,Malta
Container Station,2019,2019,2019-05,DK,2233,8,Denmark
Container Station,2019,2019,2019-05,DE,1720,9,Germany
Container Station,2019,2019,2019-05,PT,1399,10,Portugal
Container Station,2019,2019,2019-06,PA,8252,1,Panama
Container Station,2019,2019,2019-06,HK,7561,2,Hong Kong
Container Station,2019,2019,2019-06,LR,7499,3,Liberia
Container Station,2019,2019,2019-06,SG,6526,4,Singapore
Container Station,2019,2019,2019-06,US,5776,5,United States
Container Station,2019,2019,2019-06,MT,2693,6,Malta
Container Station,2019,2019,2019-06,GB,2523,7,United Kingdom
Container Station,2019,2019,2019-06,DK,2222,8,Denmark
Container Station,2019,2019,2019-06,DE,1913,9,Germany
Container Station,2019,2019,2019-06,PT,1738,10,Portugal
Container Station,2019,2019,2019-07,LR,8649,1,Liberia
Container Station,2019,2019,2019-07,HK,7374,2,Hong Kong
Container Station,2019,2019,2019-07,SG,6869,3,Singapore
Container Station,2019,2019,2019-07,PA,6564,4,Panama
Container Station,2019,2019,2019-07,US,4498,5,United States
Container Station,2019,2019,2019-07,GB,3168,6,United Kingdom
Container Station,2019,2019,2019-07,DK,2710,7,Denmark
Container Station,2019,2019,2019-07,DE,2021,8,Germany
Container Station,2019,2019,2019-07,FR,1984,9,France
Container Station,2019,2019,2019-07,PT,1690,10,Portugal
Container Station,2019,2019,2019-08,SG,8633,1,Singapore
Container Station,2019,2019,2019-08,HK,8249,2,Hong Kong
Container Station,2019,2019,2019-08,PA,6985,3,Panama
Container Station,2019,2019,2019-08,LR,6604,4,Liberia
Container Station,2019,2019,2019-08,US,6226,5,United States
Container Station,2019,2019,2019-08,DK,3357,6,Denmark
Container Station,2019,2019,2019-08,DE,2746,7,Germany
Container Station,2019,2019,2019-08,GB,2576,8,United Kingdom
Container Station,2019,2019,2019-08,PT,1893,9,Portugal
Container Station,2019,2019,2019-08,MT,1790,10,Malta
Container Station,2019,2019,2019-09,SG,8207,1,Singapore
Container Station,2019,2019,2019-09,HK,6899,2,Hong Kong
Container Station,2019,2019,2019-09,PA,5754,3,Panama
Container Station,2019,2019,2019-09,LR,5622,4,Liberia
Container Station,2019,2019,2019-09,US,4651,5,United States
Container Station,2019,2019,2019-09,GB,3388,6,United Kingdom
Container Station,2019,2019,2019-09,DE,3362,7,Germany
Container Station,2019,2019,2019-09,DK,3252,8,Denmark
Container Station,2019,2019,2019-09,JP,2852,9,Japan
Container Station,2019,2019,2019-09,MH,1464,10,Marshall Islands
Container Station,2019,2019,2019-10,SG,7492,1,Singapore
Container Station,2019,2019,2019-10,HK,7466,2,Hong Kong
Container Station,2019,2019,2019-10,PA,6875,3,Panama
Container Station,2019,2019,2019-10,LR,5763,4,Liberia
Container Station,2019,2019,2019-10,US,4543,5,United States
Container Station,2019,2019,2019-10,DK,3907,6,Denmark
Container Station,2019,2019,2019-10,GB,3080,7,United Kingdom
Container Station,2019,2019,2019-10,DE,2788,8,Germany
Container Station,2019,2019,2019-10,MH,1515,9,Marshall Islands
Container Station,2019,2019,2019-10,MT,1380,10,Malta
Container Station,2019,2019,2019-11,PA,6836,1,Panama
Container Station,2019,2019,2019-11,SG,6795,2,Singapore
Container Station,2019,2019,2019-11,LR,6155,3,Liberia
Container Station,2019,2019,2019-11,HK,6076,4,Hong Kong
Container Station,2019,2019,2019-11,US,4594,5,United States
Container Station,2019,2019,2019-11,DE,2881,6,Germany
Container Station,2019,2019,2019-11,GB,2447,7,United Kingdom
Container Station,2019,2019,2019-11,DK,2126,8,Denmark
Container Station,2019,2019,2019-11,MT,1998,9,Malta
Container Station,2019,2019,2019-11,FR,1482,10,France
Container Station,2019,2019,2019-12,LR,7821,1,Liberia
Container Station,2019,2019,2019-12,SG,7301,2,Singapore
Container Station,2019,2019,2019-12,HK,7235,3,Hong Kong
Container Station,2019,2019,2019-12,PA,5522,4,Panama
Container Station,2019,2019,2019-12,US,4399,5,United States
Container Station,2019,2019,2019-12,DE,3537,6,Germany
Container Station,2019,2019,2019-12,GB,2826,7,United Kingdom
Container Station,2019,2019,2019-12,MT,2748,8,Malta
Container Station,2019,2019,2019-12,MH,1408,9,Marshall Islands
Container Station,2019,2019,2019-12,DK,1147,10,Denmark
Container Station,2020,2020,2020-01,SG,6049,1,Singapore
Container Station,2020,2020,2020-01,LR,5812,2,Liberia
Container Station,2020,2020,2020-01,HK,5584,3,Hong Kong
Container Station,2020,2020,2020-01,PA,5192,4,Panama
Container Station,2020,2020,2020-01,GB,4249,5,United Kingdom
Container Station,2020,2020,2020-01,US,4205,6,United States
Container Station,2020,2020,2020-01,DE,3130,7,Germany
Container Station,2020,2020,2020-01,MT,1956,8,Malta
Container Station,2020,2020,2020-01,PT,1836,9,Portugal
Container Station,2020,2020,2020-01,DK,1606,10,Denmark
Container Station,2020,2020,2020-02,LR,5718,1,Liberia
Container Station,2020,2020,2020-02,PA,5433,2,Panama
Container Station,2020,2020,2020-02,HK,4770,3,Hong Kong
Container Station,2020,2020,2020-02,SG,4586,4,Singapore
Container Station,2020,2020,2020-02,US,3501,5,United States
Container Station,2020,2020,2020-02,MT,3293,6,Malta
Container Station,2020,2020,2020-02,DE,1781,7,Germany
Container Station,2020,2020,2020-02,TW,1608,8,Taiwan
Container Station,2020,2020,2020-02,DK,1496,9,Denmark
Container Station,2020,2020,2020-02,PT,1423,10,Portugal
Container Station,2020,2020,2020-03,LR,6939,1,Liberia
Container Station,2020,2020,2020-03,PA,6082,2,Panama
Container Station,2020,2020,2020-03,SG,4432,3,Singapore
Container Station,2020,2020,2020-03,US,4313,4,United States
Container Station,2020,2020,2020-03,DK,4053,5,Denmark
Container Station,2020,2020,2020-03,MT,2935,6,Malta
Container Station,2020,2020,2020-03,HK,2858,7,Hong Kong
Container Station,2020,2020,2020-03,DE,2793,8,Germany
Container Station,2020,2020,2020-03,GB,2176,9,United Kingdom
Container Station,2020,2020,2020-03,PT,1234,10,Portugal
Container Station,2020,2020,2020-04,GB,116651,1,United Kingdom
Container Station,2020,2020,2020-04,CN,64415,2,China
Container Station,2020,2020,2020-04,PA,33573,3,Panama
Container Station,2020,2020,2020-04,FR,28522,4,France
Container Station,2020,2020,2020-04,LR,8368,5,Liberia
Container Station,2020,2020,2020-04,HK,6004,6,Hong Kong
Container Station,2020,2020,2020-04,SG,5284,7,Singapore
Container Station,2020,2020,2020-04,US,3968,8,United States
Container Station,2020,2020,2020-04,DK,2834,9,Denmark
Container Station,2020,2020,2020-04,MT,2292,10,Malta
Container Station,2020,2020,2020-05,LR,66907,1,Liberia
Container Station,2020,2020,2020-05,HK,33179,2,Hong Kong
Container Station,2020,2020,2020-05,MT,20962,3,Malta
Container Station,2020,2020,2020-05,GB,17335,4,United Kingdom
Container Station,2020,2020,2020-05,PA,6263,5,Panama
Container Station,2020,2020,2020-05,SG,4315,6,Singapore
Container Station,2020,2020,2020-05,US,3831,7,United States
Container Station,2020,2020,2020-05,DK,2561,8,Denmark
Container Station,2020,2020,2020-05,DE,1849,9,Germany
Container Station,2020,2020,2020-05,PT,1628,10,Portugal
Container Station,2020,2020,2020-06,LR,19931,1,Liberia
Container Station,2020,2020,2020-06,PA,8184,2,Panama
Container Station,2020,2020,2020-06,US,7236,3,United States
Container Station,2020,2020,2020-06,HK,7034,4,Hong Kong
Container Station,2020,2020,2020-06,GB,4155,5,United Kingdom
Container Station,2020,2020,2020-06,SG,4049,6,Singapore
Container Station,2020,2020,2020-06,DK,3762,7,Denmark
Container Station,2020,2020,2020-06,PT,3363,8,Portugal
Container Station,2020,2020,2020-06,DE,2789,9,Germany
Container Station,2020,2020,2020-06,JP,1827,10,Japan
Container Station,2020,2020,2020-07,MH,14768,1,Marshall Islands
Container Station,2020,2020,2020-07,HK,9206,2,Hong Kong
Container Station,2020,2020,2020-07,PA,8121,3,Panama
Container Station,2020,2020,2020-07,LR,7702,4,Liberia
Container Station,2020,2020,2020-07,US,5717,5,United States
Container Station,2020,2020,2020-07,DK,4737,6,Denmark
Container Station,2020,2020,2020-07,SG,4021,7,Singapore
Container Station,2020,2020,2020-07,GB,3281,8,United Kingdom
Container Station,2020,2020,2020-07,PT,2904,9,Portugal
Container Station,2020,2020,2020-07,MT,2251,10,Malta
Container Station,2020,2020,2020-08,AG,33966,1,Antigua and Barbuda
Container Station,2020,2020,2020-08,LR,24865,2,Liberia
Container Station,2020,2020,2020-08,HK,23029,3,Hong Kong
Container Station,2020,2020,2020-08,MT,9750,4,Malta
Container Station,2020,2020,2020-08,PT,8724,5,Portugal
Container Station,2020,2020,2020-08,US,8333,6,United States
Container Station,2020,2020,2020-08,CY,8256,7,Cyprus
Container Station,2020,2020,2020-08,PA,6159,8,Panama
Container Station,2020,2020,2020-08,DK,4814,9,Denmark
Container Station,2020,2020,2020-08,GB,4035,10,United Kingdom
Container Station,2020,2020,2020-09,LR,26605,1,Liberia
Container Station,2020,2020,2020-09,HK,12933,2,Hong Kong
Container Station,2020,2020,2020-09,MH,10643,3,Marshall Islands
Container Station,2020,2020,2020-09,JP,9611,4,Japan
Container Station,2020,2020,2020-09,CN,8431,5,China
Container Station,2020,2020,2020-09,IL,7099,6,Israel
Container Station,2020,2020,2020-09,PA,6192,7,Panama
Container Station,2020,2020,2020-09,US,6178,8,United States
Container Station,2020,2020,2020-09,SG,4556,9,Singapore
Container Station,2020,2020,2020-09,GB,2614,10,United Kingdom
Container Yard,2018,2018,2018-01,PA,107207,1,Panama
Container Yard,2018,2018,2018-01,LR,74458,2,Liberia
Container Yard,2018,2018,2018-01,HK,69475,3,Hong Kong
Container Yard,2018,2018,2018-01,SG,52558,4,Singapore
Container Yard,2018,2018,2018-01,US,47380,5,United States
Container Yard,2018,2018,2018-01,GB,46157,6,United Kingdom
Container Yard,2018,2018,2018-01,MT,28528,7,Malta
Container Yard,2018,2018,2018-01,DK,27634,8,Denmark
Container Yard,2018,2018,2018-01,MH,24526,9,Marshall Islands
Container Yard,2018,2018,2018-01,DE,16267,10,Germany
Container Yard,2018,2018,2018-02,PA,107507,1,Panama
Container Yard,2018,2018,2018-02,LR,80166,2,Liberia
Container Yard,2018,2018,2018-02,SG,75920,3,Singapore
Container Yard,2018,2018,2018-02,US,51951,4,United States
Container Yard,2018,2018,2018-02,HK,51532,5,Hong Kong
Container Yard,2018,2018,2018-02,DK,37907,6,Denmark
Container Yard,2018,2018,2018-02,GB,31044,7,United Kingdom
Container Yard,2018,2018,2018-02,MT,29940,8,Malta
Container Yard,2018,2018,2018-02,MH,20683,9,Marshall Islands
Container Yard,2018,2018,2018-02,PT,20546,10,Portugal
Container Yard,2018,2018,2018-03,PA,104186,1,Panama
Container Yard,2018,2018,2018-03,LR,77224,2,Liberia
Container Yard,2018,2018,2018-03,US,50552,3,United States
Container Yard,2018,2018,2018-03,SG,50011,4,Singapore
Container Yard,2018,2018,2018-03,HK,45031,5,Hong Kong
Container Yard,2018,2018,2018-03,MT,35069,6,Malta
Container Yard,2018,2018,2018-03,DE,29623,7,Germany
Container Yard,2018,2018,2018-03,MH,28549,8,Marshall Islands
Container Yard,2018,2018,2018-03,DK,25975,9,Denmark
Container Yard,2018,2018,2018-03,GB,19648,10,United Kingdom
Container Yard,2018,2018,2018-04,PA,130388,1,Panama
Container Yard,2018,2018,2018-04,LR,76751,2,Liberia
Container Yard,2018,2018,2018-04,SG,64198,3,Singapore
Container Yard,2018,2018,2018-04,US,58705,4,United States
Container Yard,2018,2018,2018-04,HK,52650,5,Hong Kong
Container Yard,2018,2018,2018-04,DK,35504,6,Denmark
Container Yard,2018,2018,2018-04,GB,32190,7,United Kingdom
Container Yard,2018,2018,2018-04,MT,30101,8,Malta
Container Yard,2018,2018,2018-04,PT,20434,9,Portugal
Container Yard,2018,2018,2018-04,MH,17725,10,Marshall Islands
Container Yard,2018,2018,2018-05,PA,169086,1,Panama
Container Yard,2018,2018,2018-05,LR,98711,2,Liberia
Container Yard,2018,2018,2018-05,SG,80654,3,Singapore
Container Yard,2018,2018,2018-05,HK,70807,4,Hong Kong
Container Yard,2018,2018,2018-05,US,54159,5,United States
Container Yard,2018,2018,2018-05,GB,47200,6,United Kingdom
Container Yard,2018,2018,2018-05,DK,43963,7,Denmark
Container Yard,2018,2018,2018-05,DE,41171,8,Germany
Container Yard,2018,2018,2018-05,MT,30782,9,Malta
Container Yard,2018,2018,2018-05,MH,24307,10,Marshall Islands
Container Yard,2018,2018,2018-06,PA,149122,1,Panama
Container Yard,2018,2018,2018-06,SG,101928,2,Singapore
Container Yard,2018,2018,2018-06,LR,101441,3,Liberia
Container Yard,2018,2018,2018-06,HK,81165,4,Hong Kong
Container Yard,2018,2018,2018-06,US,54870,5,United States
Container Yard,2018,2018,2018-06,GB,53231,6,United Kingdom
Container Yard,2018,2018,2018-06,MT,39521,7,Malta
Container Yard,2018,2018,2018-06,DE,35580,8,Germany
Container Yard,2018,2018,2018-06,DK,34880,9,Denmark
Container Yard,2018,2018,2018-06,MH,23616,10,Marshall Islands
Container Yard,2018,2018,2018-07,PA,170779,1,Panama
Container Yard,2018,2018,2018-07,LR,108280,2,Liberia
Container Yard,2018,2018,2018-07,SG,84495,3,Singapore
Container Yard,2018,2018,2018-07,HK,69943,4,Hong Kong
Container Yard,2018,2018,2018-07,US,59452,5,United States
Container Yard,2018,2018,2018-07,DK,44340,6,Denmark
Container Yard,2018,2018,2018-07,GB,43201,7,United Kingdom
Container Yard,2018,2018,2018-07,DE,39111,8,Germany
Container Yard,2018,2018,2018-07,PT,27003,9,Portugal
Container Yard,2018,2018,2018-07,MH,26277,10,Marshall Islands
Container Yard,2018,2018,2018-08,PA,150438,1,Panama
Container Yard,2018,2018,2018-08,LR,117713,2,Liberia
Container Yard,2018,2018,2018-08,SG,83637,3,Singapore
Container Yard,2018,2018,2018-08,HK,71651,4,Hong Kong
Container Yard,2018,2018,2018-08,US,61564,5,United States
Container Yard,2018,2018,2018-08,DE,55983,6,Germany
Container Yard,2018,2018,2018-08,DK,43443,7,Denmark
Container Yard,2018,2018,2018-08,MT,40067,8,Malta
Container Yard,2018,2018,2018-08,MH,37055,9,Marshall Islands
Container Yard,2018,2018,2018-08,GB,31732,10,United Kingdom
Container Yard,2018,2018,2018-09,PA,179020,1,Panama
Container Yard,2018,2018,2018-09,LR,110355,2,Liberia
Container Yard,2018,2018,2018-09,SG,74146,3,Singapore
Container Yard,2018,2018,2018-09,HK,71914,4,Hong Kong
Container Yard,2018,2018,2018-09,US,63796,5,United States
Container Yard,2018,2018,2018-09,MT,40202,6,Malta
Container Yard,2018,2018,2018-09,DK,36439,7,Denmark
Container Yard,2018,2018,2018-09,DE,34030,8,Germany
Container Yard,2018,2018,2018-09,GB,29303,9,United Kingdom
Container Yard,2018,2018,2018-09,TW,23896,10,Taiwan
Container Yard,2018,2018,2018-10,PA,180107,1,Panama
Container Yard,2018,2018,2018-10,LR,119216,2,Liberia
Container Yard,2018,2018,2018-10,SG,86188,3,Singapore
Container Yard,2018,2018,2018-10,HK,74690,4,Hong Kong
Container Yard,2018,2018,2018-10,US,66152,5,United States
Container Yard,2018,2018,2018-10,DE,53080,6,Germany
Container Yard,2018,2018,2018-10,DK,42134,7,Denmark
Container Yard,2018,2018,2018-10,GB,40506,8,United Kingdom
Container Yard,2018,2018,2018-10,MH,40369,9,Marshall Islands
Container Yard,2018,2018,2018-10,MT,38523,10,Malta
Container Yard,2018,2018,2018-11,PA,148933,1,Panama
Container Yard,2018,2018,2018-11,LR,110637,2,Liberia
Container Yard,2018,2018,2018-11,HK,74214,3,Hong Kong
Container Yard,2018,2018,2018-11,US,64089,4,United States
Container Yard,2018,2018,2018-11,SG,49266,5,Singapore
Container Yard,2018,2018,2018-11,MT,42967,6,Malta
Container Yard,2018,2018,2018-11,DK,41377,7,Denmark
Container Yard,2018,2018,2018-11,GB,39087,8,United Kingdom
Container Yard,2018,2018,2018-11,DE,35575,9,Germany
Container Yard,2018,2018,2018-11,MH,23948,10,Marshall Islands
Container Yard,2018,2018,2018-12,PA,192847,1,Panama
Container Yard,2018,2018,2018-12,LR,111126,2,Liberia
Container Yard,2018,2018,2018-12,SG,73846,3,Singapore
Container Yard,2018,2018,2018-12,HK,72642,4,Hong Kong
Container Yard,2018,2018,2018-12,US,41729,5,United States
Container Yard,2018,2018,2018-12,DK,36581,6,Denmark
Container Yard,2018,2018,2018-12,DE,34034,7,Germany
Container Yard,2018,2018,2018-12,GB,29990,8,United Kingdom
Container Yard,2018,2018,2018-12,MT,25624,9,Malta
Container Yard,2018,2018,2018-12,MH,22504,10,Marshall Islands
Container Yard,2019,2019,2019-01,PA,130716,1,Panama
Container Yard,2019,2019,2019-01,LR,129326,2,Liberia
Container Yard,2019,2019,2019-01,HK,51950,3,Hong Kong
Container Yard,2019,2019,2019-01,US,46006,4,United States
Container Yard,2019,2019,2019-01,SG,44766,5,Singapore
Container Yard,2019,2019,2019-01,DE,40950,6,Germany
Container Yard,2019,2019,2019-01,MH,36610,7,Marshall Islands
Container Yard,2019,2019,2019-01,DK,33947,8,Denmark
Container Yard,2019,2019,2019-01,GB,24932,9,United Kingdom
Container Yard,2019,2019,2019-01,PT,22972,10,Portugal
Container Yard,2019,2019,2019-02,PA,133376,1,Panama
Container Yard,2019,2019,2019-02,LR,104198,2,Liberia
Container Yard,2019,2019,2019-02,HK,42515,3,Hong Kong
Container Yard,2019,2019,2019-02,SG,40623,4,Singapore
Container Yard,2019,2019,2019-02,DK,39098,5,Denmark
Container Yard,2019,2019,2019-02,DE,37042,6,Germany
Container Yard,2019,2019,2019-02,US,36851,7,United States
Container Yard,2019,2019,2019-02,GB,21410,8,United Kingdom
Container Yard,2019,2019,2019-02,MH,20208,9,Marshall Islands
Container Yard,2019,2019,2019-02,MT,19064,10,Malta
Container Yard,2019,2019,2019-03,PA,135330,1,Panama
Container Yard,2019,2019,2019-03,LR,88402,2,Liberia
Container Yard,2019,2019,2019-03,HK,40367,3,Hong Kong
Container Yard,2019,2019,2019-03,US,39573,4,United States
Container Yard,2019,2019,2019-03,DK,38807,5,Denmark
Container Yard,2019,2019,2019-03,DE,32195,6,Germany
Container Yard,2019,2019,2019-03,SG,27992,7,Singapore
Container Yard,2019,2019,2019-03,MH,27460,8,Marshall Islands
Container Yard,2019,2019,2019-03,GB,17771,9,United Kingdom
Container Yard,2019,2019,2019-03,MT,15778,10,Malta
Container Yard,2019,2019,2019-04,PA,130826,1,Panama
Container Yard,2019,2019,2019-04,LR,121338,2,Liberia
Container Yard,2019,2019,2019-04,HK,60966,3,Hong Kong
Container Yard,2019,2019,2019-04,US,44174,4,United States
Container Yard,2019,2019,2019-04,SG,39840,5,Singapore
Container Yard,2019,2019,2019-04,DE,28722,6,Germany
Container Yard,2019,2019,2019-04,DK,25273,7,Denmark
Container Yard,2019,2019,2019-04,MT,21351,8,Malta
Container Yard,2019,2019,2019-04,GB,20253,9,United Kingdom
Container Yard,2019,2019,2019-04,MH,19288,10,Marshall Islands
Container Yard,2019,2019,2019-05,PA,162404,1,Panama
Container Yard,2019,2019,2019-05,LR,117131,2,Liberia
Container Yard,2019,2019,2019-05,HK,59674,3,Hong Kong
Container Yard,2019,2019,2019-05,SG,55925,4,Singapore
Container Yard,2019,2019,2019-05,US,48701,5,United States
Container Yard,2019,2019,2019-05,DE,35817,6,Germany
Container Yard,2019,2019,2019-05,DK,34126,7,Denmark
Container Yard,2019,2019,2019-05,GB,22280,8,United Kingdom
Container Yard,2019,2019,2019-05,PT,21705,9,Portugal
Container Yard,2019,2019,2019-05,MH,18743,10,Marshall Islands
Container Yard,2019,2019,2019-06,PA,124809,1,Panama
Container Yard,2019,2019,2019-06,LR,121427,2,Liberia
Container Yard,2019,2019,2019-06,HK,63995,3,Hong Kong
Container Yard,2019,2019,2019-06,US,48987,4,United States
Container Yard,2019,2019,2019-06,SG,48638,5,Singapore
Container Yard,2019,2019,2019-06,DE,45877,6,Germany
Container Yard,2019,2019,2019-06,DK,28927,7,Denmark
Container Yard,2019,2019,2019-06,MT,24374,8,Malta
Container Yard,2019,2019,2019-06,MH,23875,9,Marshall Islands
Container Yard,2019,2019,2019-06,PT,17615,10,Portugal
Container Yard,2019,2019,2019-07,LR,147203,1,Liberia
Container Yard,2019,2019,2019-07,PA,142110,2,Panama
Container Yard,2019,2019,2019-07,HK,66907,3,Hong Kong
Container Yard,2019,2019,2019-07,SG,61925,4,Singapore
Container Yard,2019,2019,2019-07,US,46079,5,United States
Container Yard,2019,2019,2019-07,DE,39626,6,Germany
Container Yard,2019,2019,2019-07,DK,26376,7,Denmark
Container Yard,2019,2019,2019-07,MH,25515,8,Marshall Islands
Container Yard,2019,2019,2019-07,GB,20210,9,United Kingdom
Container Yard,2019,2019,2019-07,TW,18710,10,Taiwan
Container Yard,2019,2019,2019-08,PA,158791,1,Panama
Container Yard,2019,2019,2019-08,LR,134357,2,Liberia
Container Yard,2019,2019,2019-08,HK,88872,3,Hong Kong
Container Yard,2019,2019,2019-08,US,49383,4,United States
Container Yard,2019,2019,2019-08,SG,42628,5,Singapore
Container Yard,2019,2019,2019-08,DK,35390,6,Denmark
Container Yard,2019,2019,2019-08,MH,35222,7,Marshall Islands
Container Yard,2019,2019,2019-08,DE,29269,8,Germany
Container Yard,2019,2019,2019-08,PT,25111,9,Portugal
Container Yard,2019,2019,2019-08,MT,20512,10,Malta
Container Yard,2019,2019,2019-09,LR,130783,1,Liberia
Container Yard,2019,2019,2019-09,PA,123861,2,Panama
Container Yard,2019,2019,2019-09,HK,58334,3,Hong Kong
Container Yard,2019,2019,2019-09,SG,48625,4,Singapore
Container Yard,2019,2019,2019-09,US,47632,5,United States
Container Yard,2019,2019,2019-09,DE,45320,6,Germany
Container Yard,2019,2019,2019-09,JP,31470,7,Japan
Container Yard,2019,2019,2019-09,DK,28370,8,Denmark
Container Yard,2019,2019,2019-09,MH,26190,9,Marshall Islands
Container Yard,2019,2019,2019-09,GB,25353,10,United Kingdom
Container Yard,2019,2019,2019-10,PA,142308,1,Panama
Container Yard,2019,2019,2019-10,LR,124490,2,Liberia
Container Yard,2019,2019,2019-10,HK,57649,3,Hong Kong
Container Yard,2019,2019,2019-10,SG,50299,4,Singapore
Container Yard,2019,2019,2019-10,US,41066,5,United States
Container Yard,2019,2019,2019-10,DE,33571,6,Germany
Container Yard,2019,2019,2019-10,DK,30798,7,Denmark
Container Yard,2019,2019,2019-10,MH,25322,8,Marshall Islands
Container Yard,2019,2019,2019-10,GB,20434,9,United Kingdom
Container Yard,2019,2019,2019-10,TW,20330,10,Taiwan
Container Yard,2019,2019,2019-11,LR,138263,1,Liberia
Container Yard,2019,2019,2019-11,PA,126809,2,Panama
Container Yard,2019,2019,2019-11,HK,61138,3,Hong Kong
Container Yard,2019,2019,2019-11,SG,43505,4,Singapore
Container Yard,2019,2019,2019-11,US,43421,5,United States
Container Yard,2019,2019,2019-11,DE,34519,6,Germany
Container Yard,2019,2019,2019-11,MH,29351,7,Marshall Islands
Container Yard,2019,2019,2019-11,DK,27497,8,Denmark
Container Yard,2019,2019,2019-11,PT,20879,9,Portugal
Container Yard,2019,2019,2019-11,MT,17966,10,Malta
Container Yard,2019,2019,2019-12,LR,131363,1,Liberia
Container Yard,2019,2019,2019-12,PA,100620,2,Panama
Container Yard,2019,2019,2019-12,HK,59106,3,Hong Kong
Container Yard,2019,2019,2019-12,SG,50066,4,Singapore
Container Yard,2019,2019,2019-12,US,39606,5,United States
Container Yard,2019,2019,2019-12,MH,31515,6,Marshall Islands
Container Yard,2019,2019,2019-12,DK,28787,7,Denmark
Container Yard,2019,2019,2019-12,DE,28186,8,Germany
Container Yard,2019,2019,2019-12,MT,24078,9,Malta
Container Yard,2019,2019,2019-12,GB,18467,10,United Kingdom
Container Yard,2020,2020,2020-01,PA,140417,1,Panama
Container Yard,2020,2020,2020-01,LR,133677,2,Liberia
Container Yard,2020,2020,2020-01,HK,53728,3,Hong Kong
Container Yard,2020,2020,2020-01,SG,52946,4,Singapore
Container Yard,2020,2020,2020-01,US,43949,5,United States
Container Yard,2020,2020,2020-01,DE,39780,6,Germany
Container Yard,2020,2020,2020-01,DK,30526,7,Denmark
Container Yard,2020,2020,2020-01,MH,26096,8,Marshall Islands
Container Yard,2020,2020,2020-01,GB,22928,9,United Kingdom
Container Yard,2020,2020,2020-01,PT,22791,10,Portugal
Container Yard,2020,2020,2020-02,LR,122680,1,Liberia
Container Yard,2020,2020,2020-02,PA,102147,2,Panama
Container Yard,2020,2020,2020-02,HK,54285,3,Hong Kong
Container Yard,2020,2020,2020-02,SG,46942,4,Singapore
Container Yard,2020,2020,2020-02,US,37933,5,United States
Container Yard,2020,2020,2020-02,MT,31431,6,Malta
Container Yard,2020,2020,2020-02,DE,27159,7,Germany
Container Yard,2020,2020,2020-02,DK,26605,8,Denmark
Container Yard,2020,2020,2020-02,MH,23107,9,Marshall Islands
Container Yard,2020,2020,2020-02,PT,18916,10,Portugal
Container Yard,2020,2020,2020-03,PA,121206,1,Panama
Container Yard,2020,2020,2020-03,LR,98994,2,Liberia
Container Yard,2020,2020,2020-03,SG,44150,3,Singapore
Container Yard,2020,2020,2020-03,US,40017,4,United States
Container Yard,2020,2020,2020-03,DE,35593,5,Germany
Container Yard,2020,2020,2020-03,HK,31411,6,Hong Kong
Container Yard,2020,2020,2020-03,MT,26969,7,Malta
Container Yard,2020,2020,2020-03,DK,24751,8,Denmark
